temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
30.3,20.8,57.9,0.0,0,0.0,37.1,18.4,152.8,1010.3,39.5,16.0,156.7,13.7,10
32.3,21.2,54.1,0.0,0,0.0,38.9,22.7,184.3,1007.4,25.4,16.0,241.2,21.1,10
32.4,20.9,52.4,0.0,0,0.0,42.8,24.4,176.4,1007.7,16.9,16.0,215.8,18.9,10
31.6,19.8,52.2,0.0,0,0.0,49.6,29.5,176.8,1010.2,2.3,15.0,211.7,18.4,10
30.5,19.5,53.6,0.0,0,0.0,65.7,35.9,174.2,1011.1,37.6,14.5,307.5,26.6,10
29.9,21.0,59.8,0.0,0,0.0,56.6,32.2,175.4,1012.9,59.9,15.9,254.0,21.8,10
31.3,18.7,49.9,0.0,0,0.0,37.1,18.0,168.9,1016.0,25.8,15.4,288.9,24.9,10
31.1,18.6,48.6,0.126,100,4.17,55.0,18.6,107.5,1015.4,23.0,15.8,218.2,18.9,10
30.3,20.4,57.5,0.0,0,0.0,35.3,20.8,125.5,1014.8,23.2,16.0,223.6,19.3,10
30.9,20.7,56.4,0.0,0,0.0,44.6,22.9,115.8,1015.6,24.6,16.0,241.4,20.9,10
31.0,19.4,52.4,0.0,0,0.0,33.5,19.0,129.4,1016.6,20.0,16.0,215.0,18.5,10
32.2,18.8,47.1,0.0,0,0.0,34.9,18.7,143.8,1018.3,11.0,16.0,231.2,20.1,10
31.9,18.9,48.0,0.0,0,0.0,27.7,16.8,146.3,1017.7,22.8,16.0,209.9,18.3,10
32.9,19.3,46.8,0.0,0,0.0,38.9,22.4,126.4,1013.7,28.9,16.0,215.5,18.8,10
33.2,18.3,43.1,0.0,0,0.0,35.3,21.4,171.2,1011.3,18.3,16.0,210.5,18.3,10
32.8,15.6,37.7,0.0,0,0.0,38.9,19.3,167.1,1012.8,15.5,16.0,209.9,18.3,10
32.7,16.2,38.4,0.0,0,0.0,48.1,22.8,4.8,1016.5,28.0,16.0,211.6,18.2,10
29.0,18.1,52.2,0.0,0,0.0,41.1,21.1,39.4,1019.7,38.7,16.0,268.2,23.4,10
28.6,13.7,42.2,0.0,0,0.0,37.1,18.7,76.4,1020.1,54.6,16.0,198.4,17.1,10
28.8,12.6,38.8,0.0,0,0.0,33.5,19.1,78.3,1019.4,23.8,16.0,207.8,18.1,10
30.4,16.2,44.1,0.0,0,0.0,37.1,22.3,128.6,1015.3,14.3,16.0,212.4,18.5,10
29.6,19.9,57.9,0.0,0,0.0,38.9,19.2,138.8,1013.2,22.8,16.0,148.1,12.9,10
30.2,21.4,61.0,0.029,100,4.17,37.3,23.4,133.3,1012.1,36.6,16.0,188.1,16.2,10
31.8,20.7,55.5,0.0,0,0.0,35.0,21.0,155.1,1013.6,33.6,16.0,155.9,13.5,10
